company_permalink,angel,convertible_note,debt_financing,post_ipo_equity,private_equity,seed,undisclosed,venture,A,B,C,D,E,F,G,H,sum(raised_amount_usd)
/organization/cyphort,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,52500000
/organization/ortega-infosystems,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,11800000
/organization/amaranth-medical,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,20000000
/organization/atrica,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,39200000
/organization/outdoor-voices,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,7000000
/organization/flatiron-school,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,14500000
/organization/freedompop,0,0,0,0,0,0,0,5,3,2,0,0,0,0,0,0,56800000
/organization/locamoda,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6100000
/organization/konarka,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,18000000
/organization/beequick,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,90000000
/organization/audience,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,15000000
/organization/cinemacraft,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3900000
/organization/galera-therapeutics,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,57400000
/organization/menlo-security,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,35000000
/organization/bar-harbor-biotechnology,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,180000
/organization/justfoodfordogs,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2600000
/organization/klee-data-system,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,13330000
/organization/harmoney,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,10000000
/organization/brickfish,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,940261
/organization/global-outlook,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4500000
/organization/convirza,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,22800000
